ID,Code DTC,Description du problème,Root Cause Description,Composant concerné,PCA attendue,Statut GIM
976,P0850,STOP SAFELY VEHICLE WILL SHUT OFF SOON,Heater element failure in seat,Cooling System,Replace connecting rod bearings,En traitement
977,P0601,Brake system warning light,Clogged fuel injector and worn spark plugs,Interior Electronics,Replace catalytic converter,Non résolu
978,P0420,Door ajar warning light on constantly,Actuator for trunk release faulty,Sunroof System,Clean blind spot sensor,En traitement
979,P0920,Wipers not working,Faulty horn relay,Wiper System,Increase MG1 nut torque spec from 353Nm to 398Nm,Résolu
980,P0455,Unusual tire wear,Loose battery terminal connection,Sunroof System,Clean battery terminals,En traitement
981,P0920,Vehicle pulls to one side,Improper tire inflation,Hybrid Battery,Replace wiper fuse,Non résolu
982,P1700,Battery overheats after 20 min of driving,Battery internal resistance too high causing voltage imbalance,Navigation System,Replace horn relay,Non résolu
983,P0715,Engine knocking sound,Rearview camera lens dirty,Cooling System,Replace connecting rod bearings,En traitement
984,P0970,Trunk not opening,Sunroof motor failure,Steering,Replace sunroof motor,En traitement
985,P0700,Adaptive cruise control unavailable,"Low tightening torque of nut MG1 causing rotor slip (coefficient friction too low, SF=0.77)",Horn System,Replace wheel bearing,Résolu
986,P0172,Reduced power and acceleration,Connecting rod bearing wear,Body Control Module,Replace oxygen sensor and clear fault codes,En traitement
987,P1100,Navigation system not working,Refrigerant leak in AC system,ECU,Replace turbocharger,Non résolu
988,P0560,"Check engine light on, no noticeable symptoms",Sunroof motor failure,Suspension,Replace power window motor,En traitement
989,P07AD,Horn not functioning,Faulty horn relay,Tires,Replace horn relay,Non résolu
990,P03AF,Parking assist system error,Refrigerant leak in AC system,Cooling System,Replace turbocharger,Résolu
991,P0740,Engine knocking sound,Faulty horn relay,Lighting System,Replace connecting rod bearings,Non résolu
992,P03AF,"Engine misfire, rough idle",Parking sensor dirty,Horn System,Replace catalytic converter,En traitement
993,P0620,"Check engine light on, no noticeable symptoms","Low tightening torque of nut MG1 causing rotor slip (coefficient friction too low, SF=0.77)",Wiper System,Replace oxygen sensor and clear fault codes,Résolu
994,P0715,Horn not functioning,Battery internal resistance too high causing voltage imbalance,Cooling System,Adjust tire pressure,Résolu
995,P0340,Power windows not responding,Communication loss between ECU and hybrid battery module,Inverter,"Locate and repair refrigerant leak, then recharge AC system",En traitement
996,P0705,Unusual tire wear,Wheel bearing worn out,Safety Systems,Replace connecting rod bearings,Non résolu
997,P0920,STOP SAFELY VEHICLE WILL SHUT OFF SOON,Faulty horn relay,MG2,Replace connecting rod bearings,Résolu
998,P0560,Heated seats not working,"Thermostat stuck open, engine running cold",AC System,Replace power window motor,Résolu
999,P0700,Rearview camera blurry,Refrigerant leak in AC system,Camera Systems,Perform wheel alignment,En traitement
1000,P0101,AC not blowing cold air,Battery internal resistance too high causing voltage imbalance,Inverter,Replace wheel bearing,Résolu
