ID,Code DTC,Description du problème,Root Cause Description,Composant concerné,PCA attendue
243,P0736,"Engine misfire cylinder 4, intermittent issue",Suspected temperature extremes,ABS,Replace brake rotors and pads
244,P0803,Intermittent mild fuel pressure low,Abuse or misuse due to environmental factors,PCM,Replace fuel pump and filter
245,P0550,"Power windows not working, technician observed, getting progressively worse",Possible mount failure,Axle,Replace fuel pump and filter
246,P0156,"Maintenance required, occurs during cold start, occurs during cold start",Likely possible bearing failure,Hazard Lights,Replace ball joints
247,P1046,"Severe interior lights not working, intermittent issue",EGR valve failure from normal wear caused by contamination,Seats,Replace cabin air filter
248,C1000,"Engine exhaust system issue, technician observed, started recently",Confirmed cooler failure,Fuel Lines,Replace ignition coil in cylinder 3
249,C0004,"Mild tire pressure warning light on, occurs during cold start",Heater failure due to environmental factors,Navigation System,Replace AC condenser and flush system
250,P0189,"Window won't go down, technician observed, noticeable at highway speeds",Possible mount failure from normal wear,Pulleys,Replace mass airflow sensor
251,P0806,"Exhaust noise loud, happens when accelerating",Fuse failure,TCM,Rotate tires and check pressure
252,P0111,Battery dead,Likely dirty throttle body,Steering Rack,Replace catalytic converter
253,P0619,Engine oxygen sensor failure,Starter failure due to age,Alternator,Replace torque converter
254,P0456,"Intermittent coolant contaminated, technician observed",Likely sensor damage due to environmental factors,Roof,Replace mass airflow sensor
255,P0980,Intermittent battery overheats after 20 min of driving,"Suspected low tightening torque of nut mg1 causing rotor slip (coefficient friction too low, sf=0.77)",Steering,Replace faulty battery modules and rebalance the hybrid battery pack
256,P0705,Horn not functioning,Faulty inverter cooling pump causing insufficient coolant circulation,Body Control Module,Replace clutch friction element and recalibrate transmission
257,P0335,"Exhaust pipe damaged, customer reports",Suspected refrigerant leak due to environmental factors,Brake System,Clean PCV valve and hoses
258,P0250,Occasional door won't close,Suspected bracket failure,ABS Module,Replace tie rod ends
259,P0387,Mild frequent wiring harness damaged,Confirmed software bug due to age,Chassis,Replace speed sensor
260,C0004,"Intermittent ac expansion valve stuck, technician observed",Likely throttle position sensor failure caused by contamination,Keyless Entry,Repair coolant leak
261,P0439,"DC-DC converter failure, intermittent issue",Possible water pump failure,Fenders,Replace muffler and tailpipe
262,P0101,"Occasional sensor calibration needed, worse in cold weather",Contaminated fluid due to environmental factors caused by contamination,Fuel Pressure Regulator,Repair fuel leak
263,P0219,"Engine stalling at idle, customer reports, occurs during cold start",Catalytic converter failure due to age from normal wear,Quarter Panels,Replace headlight switch
264,P0169,"Fuel filter clogged, occurs during cold start",Confirmed missing lubrication resulting from overuse,Windows,Replace AC expansion valve
265,P0147,Severe coolant contaminated,Overdue service resulting from overuse,Navigation System,Replace power steering hoses
266,P0266,"Electrical noise interference, getting progressively worse, getting progressively worse",Poor connection due to environmental factors resulting from overuse,Seat Belts,Replace tail light assembly
267,P0473,"Steering noise, intermittent issue, intermittent issue",Possible possible camshaft position sensor failure,Steering Rack,Replace valve cover gasket
268,B0004,"Severe charging system malfunction, technician observed",Voltage spike caused by contamination due to environmental factors,Dashboard,Evacuate and recharge AC system
269,P0468,"AC evaporator frozen, happens when accelerating, started recently",Possible friction wear,Differential,Replace manifold absolute pressure sensor
270,P1803-00,"Fuel gauge inaccurate, occurs during cold start",Communication loss between ECU and hybrid battery module from normal wear,Lighting System,Clean radar sensor
271,P0215,"Sensor voltage high, technician observed",Possible battery failure caused by contamination,Reinforcements,Clean throttle body and idle air control valve
272,P0381,"Mild engine camshaft position error, happens when accelerating",Confirmed wheel bearing failure due to environmental factors,Fuel Pressure Regulator,Replace brake pedal position sensor
273,P0345,"Severe transmission filter clogged, getting progressively worse",Catalytic converter failure due to environmental factors,ABS Module,Perform scheduled maintenance
274,P0400,Severe trunk won't open,Wrong viscosity resulting from overuse caused by contamination,Chassis,Replace torque converter
275,P0954,"Severe engine stalling at idle, technician observed",Tie rod failure,Brake Lights,Replace speed sensor
276,C0030,"Brake emergency brake failure, technician observed",Sway bar link failure caused by contamination,AC Lines,Increase MG1 nut torque spec from 353Nm to 398Nm
277,P0240,Frequent mild charging system malfunction,Suspected motor mount failure from normal wear,Regenerative Braking,Replace engine oil pump
278,P0730,Intermittent mild transmission mount broken,Suspected normal wear and tear from normal wear,AC Refrigerant,Replace air filter
279,P0746,"Engine stalling at idle, technician observed, intermittent issue",Confirmed ac compressor failure caused by contamination,Roof,Replace fuse box
280,P0340,"Wipers not working, occurs during cold start",Door latch sensor faulty caused by contamination,Horn System,Replace thermostat
281,P0860,Intermittent horn not functioning,Confirmed alignment issues,Steering,Replace clutch friction element and recalibrate transmission
282,P0446,"Excessive exhaust smoke, intermittent issue",Lane keeping assist camera misaligned,Lighting System,Replace thermostat
283,P0624,"Noise abnormal, occurs during cold start",Possible ac evaporator failure,Low Voltage System,Repair wiring harness
284,P0284,"Suspension rough ride, noticeable at highway speeds",Seal failure from normal wear,Charging System,Replace fuel cap
285,P0640,"Fuel injector dirty, happens when accelerating, customer reports",Suspected connector failure due to age,Relays,Clean and adjust brakes
286,P0951,Occasional mild sensor circuit short,Confirmed fluid leak due to environmental factors,Brake Lights,Replace spark plugs and clean fuel injectors
287,P0949,"Suspension control arm bushing worn, getting progressively worse, worse in cold weather",Suspected fan failure,Brakes,Clear fault codes and road test
288,P0783,Occasional engine camshaft position error,Thermostat failure caused by contamination,Keyless Entry,Repair lighting circuit
289,P0686,Occasional brake abs malfunction,Suspected compressor failure caused by contamination,Axle,Replace crankshaft position sensor
290,P0548,"Current abnormal, noticeable at highway speeds",Confirmed abuse or misuse,Power Steering,Clean fuel injectors and replace filter
291,P0835,Intermittent brake parking brake stuck,Component worn out caused by contamination,Brake Lights,Replace exhaust pipe section
292,P0119,"Sunroof stuck, started recently",Possible salt corrosion due to age,USB Ports,Replace wheel bearings
293,P0220,"Occasional radio not working, worse in cold weather",Suspected oxidation due to environmental factors,Headlights,Replace shock absorbers
294,P0770,"AC not blowing cold air, technician observed",Suspected lane keeping assist camera misaligned,Trunk System,Replace ignition coil in cylinder 1
295,P0153,"Mild suspension noise, getting progressively worse",Wrong viscosity due to environmental factors resulting from overuse,Electrical System,Recalibrate sensor
296,U1001,"Frequent brake warning light on, noticeable at highway speeds",Possible mechanical failure due to environmental factors,Climate Control,Replace power steering pump and fluid
297,P0138,"Fuel system contaminated, technician observed, occurs during cold start",Possible motor mount failure,Brakes,Clean air intake system
298,C0020,"Frequent coolant contaminated, happens when accelerating",Suspected likely sensor damage,Purge Valve,Reset adaptive learning values
299,P0736,"Mild engine misfire cylinder 1, technician observed",Confirmed calibration error resulting from overuse,Supercharger,Inspect and adjust belts
300,P0992,"Frequent sensor replacement required, started recently",Thermal cycling damage caused by contamination due to age,ECU,Clean blind spot sensor and verify function
301,P0647,"Severe electrical connector corroded, occurs during cold start",Alignment issue due to age,Power Steering,Evacuate and recharge AC system
302,P0401,Steering wheel vibration at high speed,Parking sensor dirty,Brakes,Replace spark plugs and clean fuel injectors
303,P0857,"Frequent coolant level low, technician observed",Possible fuse failure caused by contamination,Turbocharger,Replace trunk release actuator
304,P0313,"Steering wheel off center, started recently",Missing lubrication from normal wear,Ball Joints,Replace control arm bushings
